"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-22",,,"85","H,,S","100",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-23","0.00",",,S","85","H,,S","98",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-24","0.16",",,S","89","H,,S","99",",,S","75",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-25","0.00",",,S","90","H,,S","99",",,S","77",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-26",,,"91","H,,S","100",",,S","80",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-27",,,"91","H,,S","102",",,S","77",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-28","0.00",",,S","91","H,,S","101",",,S","78",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-29",,,"91","H,,S","101",",,S","78",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-04-30",,,"90","H,,S","103",",,S","77",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-01","0.00",",,S","88","H,,S","102",",,S","79",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-02",,,"89","H,,S","96",",,S","78",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-03",,,"82","H,,S","97",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-04",,,"85","H,,S","98",",,S","74",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-05",,,"82","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-06",,,"89","H,,S","100",",,S","75",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-07",,,"88","H,,S","100",",,S","77",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-08",,,"89","H,,S","99",",,S","80",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-09",,,"90","H,,S",,,"80",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-10",,,"90","H,,S","101",",,S","81",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-11",,,"90","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-12",,,"91","H,,S","102",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-13","0.28",",,S","90","H,,S","103",",,S","74",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-14","0.00",",,S","86","H,,S","102",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-15","0.04",",,S","85","H,,S","98",",,S","77",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-16","0.00",",,S","82","H,,S","94",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-17","0.00",",,S","88","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-18","0.20",",,S","87","H,,S","98",",,S","73",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-19","0.00",",,S","89","H,,S",,,"72",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-20","0.51",",,S","86","H,,S","99",",,S","74",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-21","0.00",",,S","89","H,,S",,,"80",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-22",,,"89","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-23",,,"90","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-24","0.01",",,S","89","H,,S","103",",,S","78",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-25","0.00",",,S","92","H,,S",,,"81",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-26",,,"91","H,,S","103",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-27",,,"87","H,,S","104",",,S","79",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-28","0.00",",,S","85","H,,S","100",",,S","77",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-29",,,"88","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-30",,,"89","H,,S","103",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-05-31",,,"88","H,,S",,,"81",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-06-01",,,"86","H,,S","101",",,S","78",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-06-02","1.10",",,S","83","H,,S","99",",,S","72",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-06-03","0.04",",,S","80","H,,S","94",",,S","74",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-06-04","0.00",",,S","80","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-06-05","0.08",",,S","86","H,,S","93",",,S","75",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-06-06","0.51",",,S","84","H,,S","94",",,S","74",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-06-07","0.00",",,S","87","H,,S",,,"78",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-06-08","0.00",",,S","87","H,,S","96",",,S","77",",,S"
